# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
2.810562729169082830e-13,9.639670510274628331e-16,6.112347481468421182e-14
2.803473340463399865e-13,9.597702476912050614e-16,6.093590125897663893e-14
2.799672737138093325e-13,9.562188590169603849e-16,6.047292272878848875e-14
2.786694423670726555e-13,9.524100240519586235e-16,6.050633922291677724e-14
2.776935390355255760e-13,9.480086867334820374e-16,6.015837327210378828e-14
2.765287915199809407e-13,9.444640736856928713e-16,6.004524035873678656e-14
2.763803854652251070e-13,9.427665745570417424e-16,5.983456686584555761e-14
2.760084373004291053e-13,9.410306516450963598e-16,5.982815322791325654e-14
2.741124214875089130e-13,9.369673006221588297e-16,5.969958201710578619e-14
2.732235459529842700e-13,9.356084559119493511e-16,5.939549552307116299e-14
2.721408890959626444e-13,9.349954786508768990e-16,5.932875138267306984e-14
2.708020396847331690e-13,9.345688601323899175e-16,5.930564396236189718e-14
2.700432844653534837e-13,9.325544475820217389e-16,5.920484641536569883e-14
2.698066337210591637e-13,9.306618886699032795e-16,5.899359973064055824e-14
2.696111018549299843e-13,9.281378433667480262e-16,5.866593052061298736e-14
2.695117518734197248e-13,9.244845926387872058e-16,5.842206056852574367e-14
2.690560289347440813e-13,9.222022344375568362e-16,5.818161710806667732e-14
2.686055988702640309e-13,9.206004782794700321e-16,5.800359387660627817e-14
2.684083767093565536e-13,9.149605247130038096e-16,5.791980167130141881e-14
2.671581841713700412e-13,9.086900639392534193e-16,5.766705216652292927e-14
2.659805480901419576e-13,9.057064227322336811e-16,5.753852120272307349e-14
2.648287674145752031e-13,9.030538270393007470e-16,5.753618963160624061e-14
2.635823634772256164e-13,8.995623336164045731e-16,5.731788846214837166e-14
2.626412419245734326e-13,8.967543834431140046e-16,5.717172233776522650e-14
2.622920135057238286e-13,8.946962352549868739e-16,5.696646064623099360e-14
2.613494084626880979e-13,8.928451639209327338e-16,5.694069503105576509e-14
2.611426076486432420e-13,8.921667478589729829e-16,5.673974971735774580e-14
2.597565618394621825e-13,8.903736944596362315e-16,5.652409394261690396e-14
2.585425347007240008e-13,8.881966596848381628e-16,5.644969649172808308e-14
2.582580122863504316e-13,8.870120834104792070e-16,5.632396685909038875e-14
2.571432578903711639e-13,8.847370001018729088e-16,5.625989624348076162e-14
2.565465285680867041e-13,8.826644375780336464e-16,5.612560505289931370e-14
2.562402337540963013e-13,8.793742719455750948e-16,5.603417699948793565e-14
2.556845030182776981e-13,8.767851962803372944e-16,5.589045154431202075e-14
2.551633972586064603e-13,8.758995445779028907e-16,5.569099965604121868e-14
2.534925193238153053e-13,8.705241891997371242e-16,5.557374078520857908e-14
2.534345940996169309e-13,8.670897524306039060e-16,5.530420918619180509e-14
2.531450519752275905e-13,8.650594039273051738e-16,5.517241331280505932e-14
2.529431234524199636e-13,8.648074493648547663e-16,5.498228133030205866e-14
2.516762724035898811e-13,8.604500134315540169e-16,5.478885919901178720e-14
2.515010533125002876e-13,8.600032457605625706e-16,5.453863738254237519e-14
2.514032368767904135e-13,8.631130974762436229e-16,5.450217028740015450e-14
2.500813836197434305e-13,8.599081155096329860e-16,5.424365869111029983e-14
2.486725242508332459e-13,8.566823227757370850e-16,5.431190277403214650e-14
2.475264843986792533e-13,8.496492420606732541e-16,5.395287367260037737e-14
2.473898070474546254e-13,8.482805559495574423e-16,5.401756148154229586e-14
2.464783217140509350e-13,8.443953455209169275e-16,5.373843264557418399e-14
2.453799157536821839e-13,8.407999392399615936e-16,5.347865394651298932e-14
2.441665682060925954e-13,8.376808159362225748e-16,5.336588376178768526e-14
2.426837102639214891e-13,8.343658932658643648e-16,5.319662293764055063e-14
2.397106196666512718e-13,8.310371882233957093e-16,5.313175381943861473e-14
2.357946583651916121e-13,8.301943252207110508e-16,5.348893349039997987e-14
2.309749215145687084e-13,8.318098611643724290e-16,5.400724201887282779e-14
2.261079992850585821e-13,8.370976338714842505e-16,5.452455426576547009e-14
2.233559773526394599e-13,8.320516802602868985e-16,5.472606572234804667e-14
2.215199374133760937e-13,8.278228104164037752e-16,5.471407054699497829e-14
2.229292850506443768e-13,8.277246589769104330e-16,5.461474950255106289e-14
2.256405623803754232e-13,8.266826712444151280e-16,5.404185011060665841e-14
2.277379000217781614e-13,8.282941334110385391e-16,5.352248503366966519e-14
2.285983055502509805e-13,8.274271780581537337e-16,5.340671664609134491e-14
2.282375163836905976e-13,8.239780000435975767e-16,5.339686795787966872e-14
2.278621328989674046e-13,8.258568930810931266e-16,5.336036460836273648e-14
2.276230207966959273e-13,8.272048965139865011e-16,5.335932201235271760e-14
2.269674611711785378e-13,8.244658951711974240e-16,5.339694168312746111e-14
2.259895586909313546e-13,8.231006535674261153e-16,5.324392929000622875e-14
2.257523773693216964e-13,8.232590361538891970e-16,5.320822299409962265e-14
2.257131823476396915e-13,8.229914862642599591e-16,5.326204344622410284e-14
2.248165499004662242e-13,8.207021863479553287e-16,5.297813644420794786e-14
2.253186296827070929e-13,8.169478886733518860e-16,5.256896830885934013e-14
2.257507945096723965e-13,8.121509323739804791e-16,5.230770855721374563e-14
2.250779410689363427e-13,8.115320482838812417e-16,5.215805638173675775e-14
2.244376010892898127e-13,8.110136557014566662e-16,5.192338873066913238e-14
2.240804069865416534e-13,8.077685224109652917e-16,5.182750486998175016e-14
2.230818942517493391e-13,8.048764157999916636e-16,5.195488102081968691e-14
2.219841214394635689e-13,8.024842493591650965e-16,5.190763100531405140e-14
2.210544018165309764e-13,8.013390591287291554e-16,5.184620981429262808e-14
2.200179257584233136e-13,8.003966611843215702e-16,5.178377804383540648e-14
2.194843629996334062e-13,7.994592527449084892e-16,5.173913482857494031e-14
2.191385347256761882e-13,7.982084451588178078e-16,5.164609179314945252e-14
2.185707137191023148e-13,7.957925430747389061e-16,5.159785000565180782e-14
2.184215509788945220e-13,7.938392058276054562e-16,5.131119214229151576e-14
2.181203721960706255e-13,7.921420421666880415e-16,5.125482372095467178e-14
2.173956286956178412e-13,7.899623613274425643e-16,5.121440015477143631e-14
2.169312247225068962e-13,7.883124024422487215e-16,5.103613768785663561e-14
2.156363054699558499e-13,7.853871621884641817e-16,5.082638230111501481e-14
2.152660686819602073e-13,7.851044951894886856e-16,5.078143644925617765e-14
2.141336391342334045e-13,7.870122056271016638e-16,5.067021374313138292e-14
2.138534516584851778e-13,7.868632020493860314e-16,5.071320360259242089e-14
2.134795622864022809e-13,7.824302135881577271e-16,5.061789897707362203e-14
2.127332782554070556e-13,7.796254583674751728e-16,5.048793729521536004e-14
2.119042287344014389e-13,7.778703446363480338e-16,5.037715425347938954e-14
2.111516895109652331e-13,7.758535506327359909e-16,5.032912380309657424e-14
2.101298298448064748e-13,7.738076628937862217e-16,5.026713273373597613e-14
2.102609405425704144e-13,7.734161579320257437e-16,5.024584510885953972e-14
2.091196666058321431e-13,7.707033558909822702e-16,5.027761513515231562e-14
2.090341073431816991e-13,7.696670544086008194e-16,5.010388323680920651e-14
2.088637968790638088e-13,7.694436833230888532e-16,5.007727200598038464e-14
2.070180766145368860e-13,7.684774106322054441e-16,5.019460864774625004e-14
2.068061856579348379e-13,7.677066553535234942e-16,5.062733208237316047e-14
2.065084525681792218e-13,7.668976301269417518e-16,5.153933277739283122e-14
2.058875399788849656e-13,7.655938223184699752e-16,5.243025334957136190e-14
2.056389379336520491e-13,7.645169033983704892e-16,5.267686981658401260e-14
2.051575200227035415e-13,7.623461234152761222e-16,5.252264703624064526e-14
2.049906077084399978e-13,7.609425992868081323e-16,5.177345029607676471e-14
2.044418965380475380e-13,7.583395583571363170e-16,5.047502538615645286e-14
2.039553894685303533e-13,7.557541949891818948e-16,4.930876937779796505e-14
2.042611743767884009e-13,7.543331740834323678e-16,4.899057664234314883e-14
2.039420769908036850e-13,7.505528068639404913e-16,4.881968152626841600e-14
2.035638734174573869e-13,7.491677114338163462e-16,4.879237041309493523e-14
2.029392806439272347e-13,7.485441063693112492e-16,4.880199423963916087e-14
2.026919464776374897e-13,7.464990451685630841e-16,4.856316794218222691e-14
2.026975922001783787e-13,7.445436025980825349e-16,4.820272965345702030e-14
2.017771806505586467e-13,7.409940788765803171e-16,4.804095458852614568e-14
2.009475968150107942e-13,7.389871271614905442e-16,4.795722917213357552e-14
2.003574617223565109e-13,7.376214240403214055e-16,4.788538923842634419e-14
1.993452871582836914e-13,7.350618008578844874e-16,4.784514291491641914e-14
1.993132056582620498e-13,7.341453723644528438e-16,4.785098792447157731e-14
1.992665400879335653e-13,7.335015737941802535e-16,4.777214126936649010e-14
1.985749759493879655e-13,7.307719722761901822e-16,4.762289497751774754e-14
1.976688585095729902e-13,7.281756928673555808e-16,4.748911354944565643e-14
1.974233955334447399e-13,7.277904997125419929e-16,4.739785217963666689e-14
1.968572248293594098e-13,7.256080975349334416e-16,4.723141786981764989e-14
1.963024047496111781e-13,7.229452047059105037e-16,4.706295037473226377e-14
1.963954309653733453e-13,7.219316074659701035e-16,4.702031515122637548e-14
1.958685874394603099e-13,7.192173913439791258e-16,4.692918901021506342e-14
1.957560692789327954e-13,7.170163948711117853e-16,4.670160291880106483e-14
1.958389490206425413e-13,7.152437510790208846e-16,4.646601989619639993e-14
1.957398509518906826e-13,7.129313221769716048e-16,4.641961366313127557e-14
1.954505692901206575e-13,7.126399005993968267e-16,4.629167405247382121e-14
1.950625512596437147e-13,7.129185269298239841e-16,4.624790031669512513e-14
1.948194791141744727e-13,7.090360190091490973e-16,4.615982427037768525e-14
1.952232820991399516e-13,7.057884014798759102e-16,4.581413359767180934e-14
1.956667938021109703e-13,7.032868680529117282e-16,4.551866495316115524e-14
1.951973856133578334e-13,6.992166043288411553e-16,4.530009408176746072e-14
1.951535212880995730e-13,6.978777418861192159e-16,4.529365503758872375e-14
1.952753041096623582e-13,6.984704285171932527e-16,4.529280818048697764e-14
1.946085070900572326e-13,6.953280190828189979e-16,4.514794243268086657e-14
1.950593678143987667e-13,6.914935922997163661e-16,4.481309732491876675e-14
1.957956129078504790e-13,6.886950446999251348e-16,4.441836963709719861e-14
1.957523995236876747e-13,6.869570111840417324e-16,4.426187658451076219e-14
1.953884490951023280e-13,6.855175695240526927e-16,4.429451230875886618e-14
1.951027520686250483e-13,6.836283388940902078e-16,4.430214876372634155e-14
1.951366993241648920e-13,6.817013289199317530e-16,4.420690522196875107e-14
1.954668062408811701e-13,6.807410995016942100e-16,4.406780712808932584e-14
1.948560707128338515e-13,6.790500783995141737e-16,4.399452679539644400e-14
1.940301352294512529e-13,6.763036082643289147e-16,4.395391979488281644e-14
1.933484118834820255e-13,6.744138238452943474e-16,4.393111878657760352e-14
1.936751364257508619e-13,6.732738268752162405e-16,4.371614511575907302e-14
1.935485756181615568e-13,6.722042797529140479e-16,4.356458559649701006e-14
1.932184837299176832e-13,6.711394022715096975e-16,4.341175783322896111e-14
1.923010778310613541e-13,6.710626934925430265e-16,4.350847132949152994e-14
1.917687375592663529e-13,6.701725811468861474e-16,4.358484648972844771e-14
1.914916883374508390e-13,6.691880222576815474e-16,4.345213410377520228e-14
1.912506198754382899e-13,6.697402011318879743e-16,4.323030557876065000e-14
1.906096724219415449e-13,6.685016354695987576e-16,4.317516040001607303e-14
1.899725949856850053e-13,6.673404864772573414e-16,4.327223600554982854e-14
