# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
3.994948659909518548e-16,5.055634618933884024e-17,8.599775103188656618e-15
4.072934462959357437e-16,5.058719764272241482e-17,8.577374465547056073e-15
4.287673204261328524e-16,5.056653238477744475e-17,8.548842157517589524e-15
4.186558842690752429e-16,5.012922298342226306e-17,8.575323808119007698e-15
3.922486599746536116e-16,4.969947968028303230e-17,8.566944662970104970e-15
4.144313400993061659e-16,4.973498190845030255e-17,8.447278674463948223e-15
4.326661397016010787e-16,4.973744459556096060e-17,8.348834207852069463e-15
4.340055387818394522e-16,4.967714386066146662e-17,8.334029287414889784e-15
4.418891112836638306e-16,4.953719041960309695e-17,8.355566357283049518e-15
4.571817060647956289e-16,4.951649197540115454e-17,8.348701454749247832e-15
4.693609433930514116e-16,4.948159378136381673e-17,8.346762440217721984e-15
4.899543979915977052e-16,4.958784622762643934e-17,8.354028361003370414e-15
4.838418743186126631e-16,4.950116641753178600e-17,8.341992438719502092e-15
4.613524369500041529e-16,4.914482779361013574e-17,8.336927535270640047e-15
4.920710647790613915e-16,4.915832930590792490e-17,8.306971254159514398e-15
4.936654592602644433e-16,4.904941673830208126e-17,8.300316290422974423e-15
5.042439534967902072e-16,4.923169654283923542e-17,8.267987638154316442e-15
5.260698402738511071e-16,4.955212157981274119e-17,8.255997994782171459e-15
5.318151091477234783e-16,4.964411420777260885e-17,8.230439783859918225e-15
5.225049510378387252e-16,4.942835304259203724e-17,8.201138475218833229e-15
5.014026132775850709e-16,4.904480758290477117e-17,8.212873570738729410e-15
4.786327785412565003e-16,4.874447741138822127e-17,8.200820097662772169e-15
4.763826929458125828e-16,4.879852501082643773e-17,8.163071834056938876e-15
4.829687278972244689e-16,4.894536053747856589e-17,8.236689419112261142e-15
4.632310073199736106e-16,4.865838585195464702e-17,8.246920878107989839e-15
4.334490665304271275e-16,4.870662244094974137e-17,8.238256998007089285e-15
4.112583831535430546e-16,4.860316531750386225e-17,8.245095754559091228e-15
4.107323730626075977e-16,4.847971656223449545e-17,8.212724267675210232e-15
3.809668034629803942e-16,4.799708093560145729e-17,8.216856046439080187e-15
3.968619566228809880e-16,4.823602498204151662e-17,8.156198287644519512e-15
3.925089377713031553e-16,4.812098607993556734e-17,8.165784230906019334e-15
3.972453502179644328e-16,4.797064307705233265e-17,8.184464806226370654e-15
3.963434670238883887e-16,4.800216414443989026e-17,8.183959772943541193e-15
3.552765863540137261e-16,4.767331232159850353e-17,8.170113874050013308e-15
3.782372616515820772e-16,4.812010703057496203e-17,8.161087755374302529e-15
3.757520549153207287e-16,4.784083747541715427e-17,8.164390460675099315e-15
3.575951023135086741e-16,4.746565748402635244e-17,8.166651860321995614e-15
3.555800449823046600e-16,4.787891085343652276e-17,8.113527641766783720e-15
4.039904642611629818e-16,4.807692660335144100e-17,8.096914342811645485e-15
3.673531212332998379e-16,4.759210579426689223e-17,8.154304378808111630e-15
3.823196237827175494e-16,4.759446720514580485e-17,8.117856218339987796e-15
3.860506540552065492e-16,4.760825127312353370e-17,8.116697802120966865e-15
