# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
2.286756143556890624e-13,8.320516802602868985e-16,5.472606572234804667e-14
2.267958457187846240e-13,8.278228104164037752e-16,5.471407054699497829e-14
2.278396266312794349e-13,8.277246589769104330e-16,5.461474950255106289e-14
2.290681632954483627e-13,8.266826712444151280e-16,5.404185011060665841e-14
2.302160015397490663e-13,8.282941334110385391e-16,5.352248503366966519e-14
2.310857694635279541e-13,8.274271780581537337e-16,5.340671664609134491e-14
2.309736432451193851e-13,8.239780000435975767e-16,5.339686795787966872e-14
2.312446522204120563e-13,8.258568930810931266e-16,5.336036460836273648e-14
2.314825761243933732e-13,8.272048965139865011e-16,5.335932201235271760e-14
2.313448941965102665e-13,8.244658951711974240e-16,5.339694168312746111e-14
2.307494781841394282e-13,8.231006535674261153e-16,5.324392929000622875e-14
2.309708036581480794e-13,8.232590361538891970e-16,5.320822299409962265e-14
2.311555125653173609e-13,8.229914862642599591e-16,5.326204344622410284e-14
2.298348419361436815e-13,8.207021863479553287e-16,5.297813644420794786e-14
2.292818950484218745e-13,8.169478886733518860e-16,5.256896830885934013e-14
2.290298012658070872e-13,8.121509323739804791e-16,5.230770855721374563e-14
2.282356735397240256e-13,8.115320482838812417e-16,5.215805638173675775e-14
2.275239837728430605e-13,8.110136557014566662e-16,5.192338873066913238e-14
2.272807284299350116e-13,8.077685224109652917e-16,5.182750486998175016e-14
2.266628978828106723e-13,8.048764157999916636e-16,5.195488102081968691e-14
2.259798738066228759e-13,8.024842493591650965e-16,5.190763100531405140e-14
2.253427775215280620e-13,8.013390591287291554e-16,5.184620981429262808e-14
2.245814255336811166e-13,8.003966611843215702e-16,5.178377804383540648e-14
2.242973829961750079e-13,7.994592527449084892e-16,5.173913482857494031e-14
2.240276259770995233e-13,7.982084451588178078e-16,5.164609179314945252e-14
2.232950123251925546e-13,7.957925430747389061e-16,5.159785000565180782e-14
2.229574817339316586e-13,7.938392058276054562e-16,5.131119214229151576e-14
2.225693243039669388e-13,7.921420421666880415e-16,5.125482372095467178e-14
2.218168949914509115e-13,7.899623613274425643e-16,5.121440015477143631e-14
2.213751141381914624e-13,7.883124024422487215e-16,5.103613768785663561e-14
2.205136274108620804e-13,7.853871621884641817e-16,5.082638230111501481e-14
2.206151490848962329e-13,7.851044951894886856e-16,5.078143644925617765e-14
2.195683264585260231e-13,7.870122056271016638e-16,5.067021374313138292e-14
2.192853553985672413e-13,7.868632020493860314e-16,5.071320360259242089e-14
2.189391129168462613e-13,7.824302135881577271e-16,5.061789897707362203e-14
2.181816058332646288e-13,7.796254583674751728e-16,5.048793729521536004e-14
2.174970543305418271e-13,7.778703446363480338e-16,5.037715425347938954e-14
2.167517907864458838e-13,7.758535506327359909e-16,5.032912380309657424e-14
2.158530806359537972e-13,7.738076628937862217e-16,5.026713273373597613e-14
2.160470107516982298e-13,7.734161579320257437e-16,5.024584510885953972e-14
2.148783629754431638e-13,7.707033558909822702e-16,5.027761513515231562e-14
2.147904475985964024e-13,7.696670544086008194e-16,5.010388323680920651e-14
2.148702455131810267e-13,7.694436833230888532e-16,5.007727200598038464e-14
2.138009979246730907e-13,7.684774106322054441e-16,5.019460864774625004e-14
2.136276068348503690e-13,7.677066553535234942e-16,5.062733208237316047e-14
2.133202010114450482e-13,7.668976301269417518e-16,5.153933277739283122e-14
2.126788074185359996e-13,7.655938223184699752e-16,5.243025334957136190e-14
2.124124193179009237e-13,7.645169033983704892e-16,5.267686981658401260e-14
2.117675640570844487e-13,7.623461234152761222e-16,5.252264703624064526e-14
2.115899231041966662e-13,7.609425992868081323e-16,5.177345029607676471e-14
2.109627767436813612e-13,7.583395583571363170e-16,5.047502538615645286e-14
2.103596460481009261e-13,7.557541949891818948e-16,4.930876937779796505e-14
2.104466106880432132e-13,7.543331740834323678e-16,4.899057664234314883e-14
2.098442767415452604e-13,7.505528068639404913e-16,4.881968152626841600e-14
2.093575715866130421e-13,7.491677114338163462e-16,4.879237041309493523e-14
2.086285869349380077e-13,7.485441063693112492e-16,4.880199423963916087e-14
2.081461874966126409e-13,7.464990451685630841e-16,4.856316794218222691e-14
2.078390906017897998e-13,7.445436025980825349e-16,4.820272965345702030e-14
2.065437628417448157e-13,7.409940788765803171e-16,4.804095458852614568e-14
2.057276467393449570e-13,7.389871271614905442e-16,4.795722917213357552e-14
2.052192342178061691e-13,7.376214240403214055e-16,4.788538923842634419e-14
2.041412557785712904e-13,7.350618008578844874e-16,4.784514291491641914e-14
2.040501253703295230e-13,7.341453723644528438e-16,4.785098792447157731e-14
2.040374585569793924e-13,7.335015737941802535e-16,4.777214126936649010e-14
2.030891562172621347e-13,7.307719722761901822e-16,4.762289497751774754e-14
2.020656346533329430e-13,7.281756928673555808e-16,4.748911354944565643e-14
2.020144298018555962e-13,7.277904997125419929e-16,4.739785217963666689e-14
2.012856544333020152e-13,7.256080975349334416e-16,4.723141786981764989e-14
2.004265647559160522e-13,7.229452047059105037e-16,4.706295037473226377e-14
2.003677216787819505e-13,7.219316074659701035e-16,4.702031515122637548e-14
1.997038816082740328e-13,7.192173913439791258e-16,4.692918901021506342e-14
1.992778524131586093e-13,7.170163948711117853e-16,4.670160291880106483e-14
1.987539562504806100e-13,7.152437510790208846e-16,4.646601989619639993e-14
1.982096652765919242e-13,7.129313221769716048e-16,4.641961366313127557e-14
1.977251292877837727e-13,7.126399005993968267e-16,4.629167405247382121e-14
1.972730022859272206e-13,7.129185269298239841e-16,4.624790031669512513e-14
1.966652831571558410e-13,7.090360190091490973e-16,4.615982427037768525e-14
1.961053547891683720e-13,7.057884014798759102e-16,4.581413359767180934e-14
1.959083775835389690e-13,7.032868680529117282e-16,4.551866495316115524e-14
1.951101275912365539e-13,6.992166043288411553e-16,4.530009408176746072e-14
1.948574184508313695e-13,6.978777418861192159e-16,4.529365503758872375e-14
1.946713451758676621e-13,6.984704285171932527e-16,4.529280818048697764e-14
