# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
9.839893409739899556e-16,3.454381108507374226e-16,3.882909365329672640e-14
8.360377542212353142e-16,3.445670954050179289e-16,3.877299868848932168e-14
8.597202109787449087e-16,3.436886080970783410e-16,3.858670692748585057e-14
9.374455671318692700e-16,3.440372771148181649e-16,3.856643802038338714e-14
9.580327915795056219e-16,3.448247869811651237e-16,3.865665772508699017e-14
1.156764538786638307e-15,3.470981803741634249e-16,3.878000813783802410e-14
1.150893637892287302e-15,3.497902000238477322e-16,3.911825515338537610e-14
9.988745551671317854e-16,3.504032176671301882e-16,3.932312485871028716e-14
9.132365991363470404e-16,3.523968530184096979e-16,3.966755849380121057e-14
6.462788119797403547e-16,3.525824899065695306e-16,3.993832710858620152e-14
6.841377419216525655e-16,3.525785686088629858e-16,3.994865818530966628e-14
7.954816088770290556e-16,3.526520120249909595e-16,3.992597885552274242e-14
7.948478168724881552e-16,3.532191043763724821e-16,4.010342683888069701e-14
8.405684467773524830e-16,3.560312166182695244e-16,4.044313708924099356e-14
8.952886578320878052e-16,3.593003544364804921e-16,4.073900702749299595e-14
8.752675151862063520e-16,3.644530892962949251e-16,4.129850949308388439e-14
8.002714187791805826e-16,3.662882235179377369e-16,4.141545695993480147e-14
7.143255031231942327e-16,3.699653141567491372e-16,4.171462803344681840e-14
8.727642471371372271e-16,3.755279589858293099e-16,4.219926128020510372e-14
8.373542624663184105e-16,3.803793135590612523e-16,4.260248324402155353e-14
8.100144915456648720e-16,3.852594735875079840e-16,4.309450334285598831e-14
7.528470134008862945e-16,3.885346826287714055e-16,4.341962771592985350e-14
6.885552603450858778e-16,3.908682283339529861e-16,4.358035142924924145e-14
7.628631542053882583e-16,3.970599781736880425e-16,4.421497644853867650e-14
6.801861424468694479e-16,4.007262651896625611e-16,4.470041917402612525e-14
9.178773040619608923e-16,4.082792489785113472e-16,4.533269888733504427e-14
1.013029899009975259e-15,4.123623055923190095e-16,4.580952079214034568e-14
8.354180755651113821e-16,4.165708130534652393e-16,4.645417130675701355e-14
9.886783638535492578e-16,4.198286310816742999e-16,4.672112296665405599e-14
8.251042132227229721e-16,4.205341722740950760e-16,4.699180044577116242e-14
7.779530500567069633e-16,4.197887606121751825e-16,4.697824805423791584e-14
8.503850770446499594e-16,4.186130857661133111e-16,4.673583229501618582e-14
7.775574923135014640e-16,4.170357799342666256e-16,4.653330895187408482e-14
6.040301092810748243e-16,4.151132124381224586e-16,4.635414223896963237e-14
6.702581610757524637e-16,4.132934933165869194e-16,4.596566847256367567e-14
7.183792063004741754e-16,4.119078629653312612e-16,4.570101252623158879e-14
7.613071835657197789e-16,4.094399179236061460e-16,4.533759258716274372e-14
7.921318318389222165e-16,4.055404508994921851e-16,4.482373518419273083e-14
9.166677321353596741e-16,4.035451737756131808e-16,4.448657722436439119e-14
9.222993966985466348e-16,3.990595541274707335e-16,4.396007019500590738e-14
8.512392407123192523e-16,3.907136879322433850e-16,4.302491007995743506e-14
8.096634908628206472e-16,3.856425514381156419e-16,4.245633671041314987e-14
6.566572351819971230e-16,3.827051360432007533e-16,4.224248228113986579e-14
6.852000863916861786e-16,3.795464690654299963e-16,4.188848404055975074e-14
7.565547622070121960e-16,3.767768414967407596e-16,4.149853786775959680e-14
6.149706754488604634e-16,3.741471519243035557e-16,4.132816596883316698e-14
6.320532089567378617e-16,3.725023329993837245e-16,4.115981879488367472e-14
7.784151600199488320e-16,3.717596027704211463e-16,4.100738098464535731e-14
8.239232432521197018e-16,3.717585822247839912e-16,4.107776287751251233e-14
8.136375821092218602e-16,3.717686679832120317e-16,4.119674917028940514e-14
8.046629872981805854e-16,3.719119643029826239e-16,4.135276803949321879e-14
8.855343052622988428e-16,3.720337196754505672e-16,4.142159818662782113e-14
8.394579456574904319e-16,3.714215430453454572e-16,4.142960618101068053e-14
7.739013619418759438e-16,3.707517429354466259e-16,4.143820287111549488e-14
8.069201655461626954e-16,3.699066037850913432e-16,4.131115622956561338e-14
9.078407995967372931e-16,3.688137061888294030e-16,4.109973795583795677e-14
7.580761538458482630e-16,3.658451777645479058e-16,4.086383167046793506e-14
8.485936735429029882e-16,3.640339328328811116e-16,4.052744016604627063e-14
7.945763265493872646e-16,3.623714151559872857e-16,4.028901599386334215e-14
9.447403531649503614e-16,3.614946835427613865e-16,4.004761409704305982e-14
8.927478306318162094e-16,3.602403692309044433e-16,4.001596270694962538e-14
7.426950238692321127e-16,3.558809766888882849e-16,3.971776139308192264e-14
8.991205075091127356e-16,3.516779738513935713e-16,3.920500713881337388e-14
7.271708646846331148e-16,3.481061846943775330e-16,3.893551123611618184e-14
7.478960435624114473e-16,3.460836802385417490e-16,3.864381114763703035e-14
8.028707271830539657e-16,3.440165988896215152e-16,3.834146960643665482e-14
8.693429713090512669e-16,3.424661366544034560e-16,3.816955450438467620e-14
7.183179064849609262e-16,3.385899880395269680e-16,3.784766104678864899e-14
8.092475014388133071e-16,3.363044113503174262e-16,3.749244793268086415e-14
7.341123227350994698e-16,3.332216991911922623e-16,3.721380242415192652e-14
8.033096701909401256e-16,3.317265681663539574e-16,3.704069555157497202e-14
7.524788223622201841e-16,3.304221882932130543e-16,3.694339071067004114e-14
7.547380048715943272e-16,3.291448541711562452e-16,3.674172666512027345e-14
8.548328726220198256e-16,3.284104760871187207e-16,3.658268130956473695e-14
8.740793211454013035e-16,3.269471287462697154e-16,3.641889403394282432e-14
7.416948856811627906e-16,3.256917898316214817e-16,3.639851148758519856e-14
6.413470801351191446e-16,3.249092128543676900e-16,3.642632679389310685e-14
7.665501554953969310e-16,3.248564002586520337e-16,3.642416018133082391e-14
7.821775981128946927e-16,3.246431417399347482e-16,3.649132094032019206e-14
7.083242578157131418e-16,3.234521903435677190e-16,3.644203293327559553e-14
