# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.625339438470284519e-15,8.248504182711772384e-17,1.104115503567346223e-14
1.494496698887189154e-15,8.195280945234215907e-17,1.106319302464235340e-14
1.384602024486911542e-15,8.144081685533697524e-17,1.107577122245314865e-14
1.248128965500864768e-15,8.083230963803945886e-17,1.107919885009636494e-14
1.136776138671159476e-15,8.023332019062945103e-17,1.104196806219034980e-14
1.055597500533115248e-15,7.968419592701476054e-17,1.097940584367984741e-14
9.173266937488211087e-16,7.919374415600728459e-17,1.099042387145756420e-14
8.225154147573293652e-16,7.865861578368184415e-17,1.095279979943816148e-14
7.800810275581180050e-16,7.833369666681538700e-17,1.092492352765856873e-14
8.137652902882771561e-16,7.822880631841853158e-17,1.090123033137187544e-14
7.127374202259159505e-16,7.785274903445479520e-17,1.089948897302716234e-14
6.447118585777363837e-16,7.747354914198653112e-17,1.087039803700069843e-14
6.195283675289610848e-16,7.735054780342150729e-17,1.086162660528049406e-14
5.444613157247060387e-16,7.695635994677005667e-17,1.083716649774752442e-14
4.989613807612343793e-16,7.661900962745238261e-17,1.080317777393670243e-14
4.896026550898688322e-16,7.637514380653842018e-17,1.076052071930110300e-14
4.506549578885436087e-16,7.613083407384539926e-17,1.075289573735013973e-14
4.937952850498973437e-16,7.598168554217975788e-17,1.070279846866699918e-14
4.745754093255580941e-16,7.577411237005100050e-17,1.069006023147662451e-14
4.518659305071248806e-16,7.566246765794605611e-17,1.071926273046674145e-14
4.959346678895445461e-16,7.527837564796879125e-17,1.061814424639971242e-14
4.805224236444617743e-16,7.503026987530157327e-17,1.059393397453859825e-14
4.553644818238867925e-16,7.482466298286957439e-17,1.058919391447441954e-14
4.033309437082207590e-16,7.451640649763838426e-17,1.058361104529629283e-14
4.926054827147774951e-16,7.442930472260928796e-17,1.052162747792029859e-14
4.802897681227328167e-16,7.426654619985883234e-17,1.049484478421952063e-14
4.795617090401887304e-16,7.400212094008962789e-17,1.043941220984531479e-14
4.774765886657257362e-16,7.371513271460421695e-17,1.038488690014260671e-14
4.282992083068277769e-16,7.336236245415077954e-17,1.035338355403233467e-14
4.296181908012792010e-16,7.318636808056621410e-17,1.032577214854291333e-14
4.077751777579165665e-16,7.297782302219720196e-17,1.032044374982191725e-14
3.592838831599360694e-16,7.264672256440846465e-17,1.031255096634019711e-14
4.180690277801529408e-16,7.244843210897841020e-17,1.023074249090003015e-14
3.593946471178330407e-16,7.208988358314963249e-17,1.020738575492800655e-14
4.010473917239015872e-16,7.193792412909506620e-17,1.014665032251643952e-14
3.863301399782074539e-16,7.192084697167500356e-17,1.014358157615489509e-14
3.762513123719848460e-16,7.229166300350426176e-17,1.020288513903245865e-14
3.953637424623531375e-16,7.297071395680177231e-17,1.027810689704802239e-14
4.328250395667992330e-16,7.376290850146531252e-17,1.035120067085805794e-14
4.646472800147813438e-16,7.393649861833938729e-17,1.035344392143008151e-14
4.558804120123119386e-16,7.384860511317277030e-17,1.036452047703701138e-14
4.905369931062616234e-16,7.371813104680747258e-17,1.034850249142144016e-14
5.895537047862622877e-16,7.335178456356616562e-17,1.025178486192886847e-14
5.949181404983115528e-16,7.300813731629350362e-17,1.021439939012600770e-14
6.100697832305205105e-16,7.289030986340014853e-17,1.019364534945425689e-14
5.603792464932001807e-16,7.255200488371763726e-17,1.014944196482723941e-14
5.312173458342212618e-16,7.245176335864874451e-17,1.014413357079581114e-14
5.321796958169508195e-16,7.239368368694450517e-17,1.012958285829503600e-14
