# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
8.862093269312522928e-13,4.190926394216662207e-15,2.408319481932128337e-13
8.824009766743233326e-13,4.178142895143515846e-15,2.389704472276235974e-13
8.826970737838959593e-13,4.157574741624507735e-15,2.377827213149191866e-13
8.829967554926101459e-13,4.151147615297584417e-15,2.371050188411371773e-13
8.812709693605424887e-13,4.156986957556192814e-15,2.358587740910421698e-13
8.806879665727201679e-13,4.144962973969670808e-15,2.352130511803762915e-13
8.717819134352302122e-13,4.078396638301537487e-15,2.327993103205441127e-13
8.662175272808891505e-13,4.034868220728928335e-15,2.296530690127774590e-13
8.626035312731025918e-13,4.007975802629839864e-15,2.272437950827796844e-13
8.607317934980515435e-13,4.008601254163201859e-15,2.262962960603609258e-13
8.582275568099044124e-13,3.989007288492401024e-15,2.244806202967104614e-13
8.558289916459550648e-13,3.956681762201210562e-15,2.233267631528441627e-13
8.507007762458138157e-13,3.922256759120628103e-15,2.209617470513335336e-13
8.457669368017947266e-13,3.897994663458420649e-15,2.193831148167705541e-13
8.420283771362041997e-13,3.873869272924978803e-15,2.175750539600465678e-13
8.420759684969469298e-13,3.863071381232657114e-15,2.163613629868186136e-13
8.372221118551552064e-13,3.861940496031737477e-15,2.155001102403038778e-13
8.311924062513452702e-13,3.826118070616335734e-15,2.147008405867546496e-13
8.292663926390130305e-13,3.823660225733599870e-15,2.136971149228689509e-13
8.251891010896369089e-13,3.796047761663119389e-15,2.133178456594023651e-13
8.213608067528058620e-13,3.787017477352130995e-15,2.129069643340385836e-13
8.216468610087345619e-13,3.777100647151481315e-15,2.127951504786461271e-13
8.223429662091872232e-13,3.779408980103343737e-15,2.120702920184479068e-13
8.248390255108262252e-13,3.767837789669026021e-15,2.112063216541638426e-13
8.277173360691424402e-13,3.761902139585902713e-15,2.103753572838585381e-13
8.287929466811731954e-13,3.735455086017766506e-15,2.079029930122927377e-13
8.273295111702246603e-13,3.717541588448614080e-15,2.056242548845819340e-13
8.253904377761261868e-13,3.716062347180744690e-15,2.049538697912891620e-13
8.247309160786821957e-13,3.689949273158856301e-15,2.040125142554676138e-13
8.250808415475934878e-13,3.672041165170105424e-15,2.020405679805106818e-13
8.259283139212713119e-13,3.665943543404873472e-15,2.005037038725091659e-13
8.258469462766100673e-13,3.656061845543271303e-15,2.000559340782492162e-13
8.250246062809957317e-13,3.651000933878068801e-15,2.000705717333434285e-13
8.274915103361653975e-13,3.642558609257462607e-15,1.996754263441622076e-13
8.292778392590705981e-13,3.640071476762992630e-15,1.991292997887748368e-13
8.272934519881703796e-13,3.628805739531996307e-15,1.981136402350879481e-13
8.234817810866775292e-13,3.625390177641758202e-15,1.973455104215269036e-13
8.217783377512696494e-13,3.615329286752430489e-15,1.967481271808964936e-13
8.188401891704269060e-13,3.591819935369482794e-15,1.956837004013367044e-13
8.175476189582772763e-13,3.592684093983830292e-15,1.946832209806279782e-13
8.198745456180659585e-13,3.592172734879731502e-15,1.937744171139484687e-13
8.174031668707441407e-13,3.575806639542422645e-15,1.925783678434102665e-13
